https://www.startupact.tn/img/enova.png,"Enova Robotics conçoit, fabrique et commercialise des robots mobiles dans le domaine de la sécurité, la santé et la logistique.

					Site web: www.enovarobotics.eu","Anis Sahbani

Philippe Bidaud

Christophe Grand",Industrie Robotique,Mars 2019, 
https://www.startupact.tn/img/datavora.png,"Startup spécialisée dans l'offre en ligne, Datavora propose une plateforme de veille concurrentielle et tarifaire à grande échelle pour les acteurs du e-commerce.

					Site web: www.datavora.com","Mohamed Hédi Zaher

Oussama Messaoud",ECommerce,Mars 2019, 
https://www.startupact.tn/img/polysmart.png,Nous produisons un jeux de la catégorie Esport de type MOBA de tir (shooter) Top/down view (à la troisième personne) pour plateforme PC.,"Ahmed Cheikhrouhou

Haroun Bouchrit",Gaming,Mars 2019, 
https://www.startupact.tn/img/bws.png,BWS est industriel et opérateur IoT offrant des solutions intégrées de monitoring des objets en temps réel pour l'optimisation énergétique.,"Karim Kharrat

Nizar Ghram

Sofiene Ghram",IOT,Mars 2019, 
https://www.startupact.tn/img/ezzayra.png,"Développement et intégration de produits technologiques destinés a l'agriculture. Software, Hardware et Robotique.

					Site web: www.ezzayra.com",Yasser Bououd,AgTech,Mars 2019, 
https://www.startupact.tn/img/medilsys.png,"Medilsys fournit aux structures hospitalières les solutions les plus innovantes en systèmes d’informations cliniques spécialistes en soins intensifs.

					Site web: www.medilsys.com","Anis Ghorbel

Najmeddine Nouri

Sofiene Ghorbel",IT,Mars 2019, 
https://www.startupact.tn/img/dabchy.png,"Dabchy.com est une marketplace de mode qui permet aux femmes de renouveler leurs gardes-robes en ligne et en toute sécurité.

					Site web: www.dabchy.com","Ghazi Ketata

Ameni Mansouri

Oussama Mahjoub",ECommerce,Mars 2019, 
https://www.startupact.tn/img/vitalight.png,"Laboratoire unique à la frontière entre la biotechnologie marine et formulation soins dermo-cosmétiques naturels&raffinés à l’aide des actifs stabilisés à haute efficacité.

					Site web: www.algovita.tn","Ilyes Gouja

Khaoula ben Slimane",ECommerce,Mars 2019, 
https://www.startupact.tn/img/paypos.png,"Développement de solutions monétiques innovantes et dans la digitalisation des services bancaires et financiers compatibles (PCI-DSS, EMV…).

					Site web: www.paypos.tn",Khatib Chakchouk,FinTech,Mars 2019, 
https://www.startupact.tn/img/nextgen.png,"NextGenCorp est spécialisée dans le développement d’applications mobiles ludo-éducatives et thérapeutiques pour les enfants qui souffrent des troubles d'apprentissage.

					Site web: www.ngcorp.tn","Moez Lachned

Ahmed Nabli",Santé,Mars 2019, 
https://www.startupact.tn/img/nostatik.png,"Symmetryk : Une plateforme d'échange de documents entre le siège, filiales et les équipes sur le terrain.

					Site web: www.nostatikmedia.com","Khaled Frad

Ramzi Mrad",IT,Mars 2019, 
https://www.startupact.tn/img/roam.png,"Roamsmart aide les opérateurs de téléphonie mobile dans la transformation numérique de leur activité roaming a travers des solutions SaaS innovantes.

					Site web: www.roam-smart.com","Walid Chamekh

Mehdi Triki",Télécoms,Mars 2019, 
https://www.startupact.tn/img/ilb.png,"L'objectif d'ilboursa est de développer le média leader et de référence dans le secteur « Eco-Bourse-Finance »

					Site web: www.ilboursa.com","Ismail Ben Sassi 

Rodolphe Villaes",IT,Avril 2019, 
https://www.startupact.tn/img/expensya.png,"Expensya offre l'automatisation de la gestion des notes de frais - worldwide

					Site web: www.expensya.com",Karim Jouini,Fintech,Avril 2019, 
https://www.startupact.tn/img/gomycode.png,"GoMyCode se veut être une plateforme éducative panafricaine qui regroupe les meilleurs talents tech de la région, les forme sur les nouvelles technologies et les connecte avec des projets du numérique à travers le monde.

                    Site web: www.gomycode.tn","Yahya Bouhlel 

Amine Bouhlel",EdTech,Avril 2019, 
https://www.startupact.tn/img/mass.png,"Mass est un fournisseur de solutions logicielles avancées de Marketing analytique, axées sur les outils de Modélisation Mix Marketing.

					Site web: www.mass-analytics.com","Ramla Jarrar 

Firas Jabloun",AI,Avril 2019, 
https://www.startupact.tn/img/kaoun.png,"Sté Kaoun met en place des produits d'identification et d'automatisation afin de rendre les services financiers plus rapides et plus accessibles à tous.

					Site web: www.kaoun.com","Nebras Jemel

Anis Kallel

Rostom Bouazizi",Fintech,Avril 2019, 
https://www.startupact.tn/img/apprentus.png,"Apprentus est une place de marché qui innove dans les mises en relation entre les professeurs particuliers et leurs futures élèves.

					Site web: www.apprentus.com","Gaetan Deremince

Marius Andra",EdTech,Avril 2019, 
https://www.startupact.tn/img/bus.png,"Bus Software offre un nouveau dispositif de perception sur le transport public avec un SAEIV (Systèmes d’Aide à l’Exploitation et d’Information des Voyageurs).

					Site web: www.winicari.tn","Amor Sahnoun

Makrem Erguez",IoT,Avril 2019, 
https://www.startupact.tn/img/methania.png,"Methania est spécialisée dans la conception, industrialisation, fabrication et installation des solutions de micro méthanisation et micro cogénération,ingénierie et construction des installations clé en main de Méthanisation.

					Site web: www.methania.com",Selim Kanzari,Energie,Avril 2019, 
https://www.startupact.tn/img/wattnow.png,"Wattnow propose une solution IoT de monitoring et de controle d’électricité, qui permet aux entreprises de réduire le gaspillage et améliorer leur efficacité énergétique

					Site web: www.wattnow.io",Issam Smaali,IoT,Avril 2019, 
https://www.startupact.tn/img/TechAccessibility.png,"TechAccessibility est spécialisée dans la création de solutions informatiques innovantes pour tous.

					Site web: www.techaccessibility.com",Nour Ben Yahia,AI,Avril 2019, 
