Job Title,Salary Estimate,Rating,Company Name,Location,Size,Sector,Revenue
Data Scientist - Cruises & Events,$91K-$105K (Glassdoor est.),3.5,"Alcatraz Cruises
3.5","Chicago, IL",51 to 200 employees,Travel & Tourism,$10 to $25 million (USD)
"Applied Data Scientist, Government",$91K-$105K (Glassdoor est.),3.2,"Civis Analytics
3.2","Chicago, IL",51 to 200 employees,Information Technology,$25 to $50 million (USD)
Data Scientist,$91K-$105K (Glassdoor est.),3.4,"Spectrum Communications and Consulting
3.4","Chicago, IL",51 to 200 employees,Business Services,$10 to $25 million (USD)
Quantitative Researcher/Strategy Developer,$91K-$105K (Glassdoor est.),3.9,"Sunrise Futures, LLC
3.9","Chicago, IL",51 to 200 employees,Finance,Unknown / Non-Applicable
Data & Machine Learning Scientist,$91K-$105K (Glassdoor est.),3.3,"Tempus
3.3","Chicago, IL",51 to 200 employees,Finance,$1 to $2 billion (USD)
Data Scientist,$91K-$105K (Glassdoor est.),4.7,"Unicom Technologies INC
4.7","Chicago, IL",51 to 200 employees,Information Technology,Unknown / Non-Applicable
Data Scientist Advanced Analytics,$91K-$105K (Glassdoor est.),,FNA,"Chicago, IL",Unknown,,Unknown / Non-Applicable
3rd Shift Environmental Monitoring Scientist,$92K-$144K (Glassdoor est.),,Eurofins USA PSS Insourcing Solutions,"Phoenix, AZ",,,
Business Intelligence Analyst,$92K-$144K (Glassdoor est.),,MELISSAKING (MK),"Scottsdale, AZ",,,
Data Engineer,$92K-$144K (Glassdoor est.),4.6,"Headfarmer
4.6","Phoenix, AZ",1 to 50 employees,,Unknown / Non-Applicable
Applied Scientist III,$92K-$144K (Glassdoor est.),3.9,"Amazon
3.9","Tempe, AZ",10000+ employees,Information Technology,$10+ billion (USD)
Data Scientist (Global Data and Analytics),$92K-$144K (Glassdoor est.),2.9,"Circle K Stores, Inc.
2.9","Tempe, AZ",10000+ employees,Retail,$2 to $5 billion (USD)
