Producer,Category,Product,Calories (100g),Lipides (Fat),Saturés ,Glucides (Carbs),Sucre,Protein,Sel,Portion Size
Saida,BISCUITS,GAUCHO BROWNIE,"	487,28 Kcal","26,39 g","20,88 g","54,61 g","	28,55 g","7,08 g","	0,37 g",16.5g
Saida,BISCUITS,CROUSTINA BLACK&WHITE,	489 Kcal,"	28,06 gr","18,3 g","55,23g","	35,97 g","	3,99 g","	0,117 g",33g
Saida,CHOCOLAT,X-PLOSE CLASSIQUE,	491Kcal,"	23,2g",-,"65,6g",-,"	4,95g",-,-
Saida,BISCUITS,PRINCE FOURRÉ VANILLE,	492Kcal,"	23,6g",-,"	65,2g",-,"	4,9g",-,-
Saida,BISCUITS,COOKIES AUX PÉPITES DE CHOCOLAT,	496 Kcal,"	23,62 g","12,19 g","	62,56 g","	34,07 g","	6,70 g","0,174 g",17g
Saida,CHOCOLAT,MAESTRO TESORO,"	497,28Kcal","30,6g",-,"	46,8g",-,"	10,33g",-,-
Saida,CHOCOLAT,SENSATION LIGHT,"	497,4Kcal","	34,6g",-,	15g,-,"7,8g",-,-
Saida,BISCUITS,GAUFRETTES SAÏDA FRAISE,	514Kcal,"29,8g",-,"63,6g",-,"	4,1g",-,-
Saida,BISCUITS,GAUFRETTES SAÏDA VANILLE,	514Kcal,"29,8g",-,"63,6g",-,"	4,1g",-,-
Saida,BISCUITS,CROUSTINA CHOCOLAT 100G,	517Kcal,"	31,5g",-,"	54,8g",-,"3,41g",-,-
Saida,BISCUITS,LOOPI AU CHOCOLAT,	519 Kcal,"26,22 g","17,94 g","62,55 g","	49,11 g","	8,18 g","	0,150 g",6g
Saida,CHOCOLAT,MAESTRO CLUB CORNFLAKES,	523Kcal,	29g,-,	58g,-,7g,-,-
Saida,CHOCOLAT,DÉGUSTATION LAIT CAFÉ,	527Kcal,"39,3g",-,"	39,3g",-,	8g,-,-
Saida,CHOCOLAT,GOURMAND CHOCOLAT AU LAIT FOURRÉ À LA CRÈME DE CACAO,"	530,68Kcal","38,42g",-,"	43,87g",-,"	9,41g",-,-
Saida,CHOCOLAT,MAESTRO PASSION NOIR,"	535,3Kcal","32,51g",-,"	50,77g",-,"	6,75g",-,-
Saida,BISCUITS,GAUCHO CHOCOLAT,	535Kcal,	32g,-,"	56,6g",-,"	5,1g",-,-
Saida,BISCUITS,CROUSTINA CACAO-VANILLE 100G,	536Kcal,"	33,05g",-,"	54,3g",-,"	5,31g",-,-
Saida,BISCUITS,CROUSTINA CACAO-VANILLE 33G,	536Kcal,"33,05g",-,"	54,3g",-,"	5,31g",-,33g
Saida,BISCUITS,CROUSTINA NOISETTES 33G,	536Kcal,	33g,-,	55g,-,"	4,43g",-,33g
Saida,CHOCOLAT,MOMENTO,	536Kcal,"	29,6g",-,"60,4g",-,"7,1g",-,-
Saida,CHOCOLAT,CHOCOLAT DESSERT,"	537,58Kcal","	56,44g",-,"34,22g",-,"	5,07g",-,-
Saida,CHOCOLAT,MELODY,"	537,58Kcal","	56,44g",-,"	5,07g",-,"	34,22g",-,-
Saida,BISCUITS,CROUSTINA LAIT 100G,	540Kcal,"33,6g",-,"53,3g",-,"6,2g",-,-
Saida,BISCUITS,CROUSTINA LAIT 33G,	540Kcal,"	33,6g",-,"53,3g",-,"	6,2g",-,33g
Saida,CHOCOLAT,MAESTRO NAPOLITAINS LAIT,	543Kcal,"	32,8g",-,"	55,6g",-,"	8,9g",-,-
Saida,CHOCOLAT,LE CHOCOLAT SAÏD TABLETTES LAIT,	543Kcal,32g,-,"55,6g",-,"	8,9g",-,-
Saida,CHOCOLAT,TRIS AU LAIT,	543Kcal,"32,8g",-,"	55,6g",-,"	8,9g",-,-
Saida,CHOCOLAT,BARRE SAID JUNIOR MONSTER,	543Kcal,	32g,-,	51.3g,-,9.8g,-,-
Saida,CHOCOLAT,X-PLOSE TRIPLE CHOC,"	545,62Kcal","30,44g",-,"	61,85g",-,"6,17g",-,-
Saida,CHOCOLAT,CRÈME À TARTINER NOUTY,"	550,992Kcal","	33,828g",-,"	58,886g",-,"	2,83g",-,750g / 450g / 150g
Saida,CHOCOLAT,LE CHOCOLAT SAÏD TABLETTE BLANC COOKIES,	552Kcal,"38,82g",-,"	42,5g",-,"	6,8g",-,-
Saida,CHOCOLAT,CRISPONUTS,	554Kcal,"	32,8g",-,"57,2g",-,"	7,2g",-,-
Saida,CHOCOLAT,CRÈME À TARTINER NOISETTES,	559Kcal,"	36,4g",-,"52,1g",-,"	4,8g",-,500g / 1 kg
Saida,CHOCOLAT,LE CHOCOLAT SAÏD TABLETTE CHOCOLAT BLANC,	562Kcal,"	39,05g",-,"39,9g",-,"	6,9g",-,-
Saida,CHOCOLAT,MAESTRO MINI NOIR,	569Kcal,"	39,2g",-,"54,4g",-,5g,-,-
Saida,CHOCOLAT,SENSATION NOIR,	569Kcal,"	39,2g",-,"	54,4g",-,	5g,-,-
Saida,CHOCOLAT,MYTHIC SENSATION NOIR,	569Kcal,"	39,2g",-,"	54,4g",-,	5g,-,-
Saida,CHOCOLAT,CRÈME À TARTINER NOIRE,	570Kcal,"	40,53g",-,"49,01g",-,"2,96g",-,-
Saida,CHOCOLAT,LA CRÈME À TARTINER SAÏD,	571Kcal,"	37,8g",-,"53,6g",-,"	4,2g",-,-
Saida,CHOCOLAT,LA CRÈME À TARTINER SAÏD,	571Kcal,"37,8g",-,"	53,6g",-,"	4,2g",-,750g / 180g / 18g
Saida,CHOCOLAT,SENSATION LAIT AMANDES,	572Kcal,37g,-,"	49,5g",-,"10,3g",-,-
Saida,CHOCOLAT,SENSATION LAIT NOISETTES,	574Kcal,"	36,9g",-,"	50,8g",-,"	9,6g",-,-
Saida,CHOCOLAT,LE CHOCOLAT SAÏD TABLETTES NOISETTES,	574Kcal,"36,9g",-,"	50,8g",-,"	9,6g",-,-
Saida,CHOCOLAT,TRIS NOISETTES,	574Kcal,"	36,99g",-,"	50,8g",-,	6g,-,-
Saida,BISCUITS,CROUSTINA CAPPUCCINO 100G,	581Kcal,"40,6g",-,"	51,1g",-,"2,71g",-,-
Saida,BISCUITS,CROUSTINA CAPPUCCINO 33G,	581Kcal,"40,6g",-,"	51,1g",-,"2,71g",-,33g
Saida,CHOCOLAT,LE CHOCOLAT SAÏD TABLETTES CROQUANT,	582Kcal,"	39,3g",-,"	55,8g",-,"5,9g",-,-
Saida,CHOCOLAT,DÉGUSTATION NOIR,	590Kcal,	49g,-,	30g,-,7g,-,-
Saida,CHOCOLAT,SENSATION NOIR NOISETTES,	618Kcal,"	44,8g",-,"	40,7g",-,"	12,9g",-,-
Saida,CHOCOLAT,GOURMAND CHOCOLAT NOIR FOURRÉ AU GIANDUJA,"        530,68Kcal","	38,42g",-,"43,87g",-,"	9,41g",-,-
Saida,BISCUITS,BREAK KIDS VANILLE,341Kcal,"12,3g",-,"	53,2g",-,"4,3g",-,-
Saida,BISCUITS,BEIGNET FRUITS DES BOIS,"356,56 Kcal","16,47 g","5,83 g","	47,24 g","29,54 g","	4,76 g","	0,126 g",55g
Saida,BISCUITS,MUFFIN ABRICOT,"360,73 Kcal","	14,41 g","	6,52 g","52,20 g","	33,17 g","5,57 g","	0,216 g",55g
Saida,BISCUITS,MUFFIN FRAISE,"360,73 Kcal","	14,41 g","	6,52 g","52,20 g","	33,17 g","5,57 g","	0,216 g",55g
Saida,BISCUITS,SSE CACAOTÉ ,368 Kcal,"	10,36 g	","5,3 g","60,98 g	","	23,62 g","7,83 g","	0,216 g",8g
Saida,CHOCOLAT,CHOCOLINE,"371,6Kcal","16,5g",-,"51,15g",-,"	4,6g",-,120g / 13 g
Saida,BISCUITS,BEIGNET SAÏDA,"371,97 Kcal","20,15 g","	6,23 g","	42,38 g","	24,54 g","	5,23 g","	0,084 g",55g
Saida,CHOCOLAT,FALFOUL DINOSAURES,373Kcal,"0,1g",-,"93,15g",-,"0,37g",-,-
Saida,BISCUITS,SAÏDA SUPER EXTRA,395Kcal,"10,6g",-,"68,8g",-,"6,1g",-,-
Saida,BISCUITS,NATURE AU BEURRE,395Kcal,"	13,61g",-,"59,64g",-,"	6,83g",-,-
Saida,BISCUITS,MUFFIN SAÏDA,"397,84 Kcal","	23,15 g",-,"	52,55 g",-,"	6,00 g","0,269 g",55g
Saida,BISCUITS,BROWNIE SAÏDA,"402,71 Kcal","	27,64 g",-,"46,87 g",-,"5,29 g","0,279 g",55g
Saida,BISCUITS,SAÏDA AUX 6 CÉRÉALES,409Kcal,15g,-,"62,3g",-,"	6,3g",-,-
Saida,BISCUITS,TARTELETTES SAÏDA FRAMBOISE,458Kcal,17g,-,"68,3g",-,"	4,8g",-,-
Saida,BISCUITS,BISCUITS TRADITION KAAK ,462Kcal,"	19,6g",-,	65g,-,"6,5g",-,-
Saida,BISCUITS,PRINCE FOURRÉ CHOCOLAT,"473,5Kcal","	22,3g",-,"63,3g",-,"4,9g",-,-
Saida,BISCUITS,TOFFEE-NOIX DE COCO,"479,64Kcal","	28,96g",-,"59,44g",-,"	4,05g",-,-
Saida,BISCUITS,COOKIES CACAOTÉS AUX PÉPITES DE CHOCOLAT,495 Kcal,"24,58 g","	14,51 g","60,29 g	","34,77 g","	6,73 g","	0,139 g",17g
Saida,BISCUITS,GAUFRETTES SAÏDA NOISETTES,"506Kcal","29,6g",-,"63,4g",-,"4,3g",-,-
Saida,BISCUITS,GAUFRETTES SAÏDA CITRON,514Kcal,"	29,8g",-,"	63,6g",-,"4,1g",-,-
Saida,BISCUITS,CROUSTINA CHOCOLAT 33G,517Kcal,"	31,5g",-,"54,8g",-,"	3,41g",-,33g
Saida,BISCUITS,CRÊPES D'OR,519 Kcal,"26,22 g","17,94 g","62,55 g","	49,11 g","8,18 g","0,150 g",6g
Saida,CHOCOLAT,MAESTRO CLUB NOISETTES,523Kcal,33g,-,54g,-,	7g,-,-
Saida,BISCUITS,CROUSTINA NOISETTES 100G,536Kcal,33g,-,	55g,-,"	4,43g",-,-
Saida,CHOCOLAT,SENSATION LAIT,543Kcal,"32,8g",-,"55,6g",-,"	8,9g",-,-
Saida,CHOCOLAT,MYTHIC SENSATION LAIT,543Kcal,"	32,8g",-,"	55,6g",-,"	8,9g",-,-
Saida,CHOCOLAT,DÉGUSTATION NOIR ET ORANGE,"547,2Kcal",	35g,-,"57,4g",-,"7,3g",-,-
Saida,CHOCOLAT,MAESTRO CLUB CAPPUCCINO,547Kcal,	134g,-,	57g,-,	5g,-,-
Saida,BISCUITS,GAUCHO CHEWING-GUM,"548,10Kcal","	32,68g",-,"59,57g",-,"	3,93g",-,-
Saida,CHOCOLAT,MAESTRO NAPOLITAINS NOIR,569Kcal,"	39,2g",-,"	54,4g",-,	5g,-,-
Saida,CHOCOLAT,TRIS CROQUANT,582Kcal,"39,3g",-,"58,8g",-,"5,9g",-,-
Saida,CHOCOLAT,MYTHIC SENSATION NOIR NOISETTES,618Kcal,"44,8g",-,"40,7g",-,"	12,9g",-,-
Saida,CHEESE,LES TRIANGLES PRÉSIDENT,"261,4 kcal","22,6g",-,5g,-,"9,5 g",-,-
Saida,CHEESE,LES CARRÉS PRÉSIDENT,"	307,60 Kcal","8,5g",-,"	0,18g",-,"8,5g",-,-
Saida,CHEESE,LES SLICES PRÉSIDENT - BURGER CHEDDAR,	246Kcal,18g,-,5g,-,16g,-,-
Saida,CHEESE,LES SLICES PRÉSIDENT - PIZZA MOZZARELLA,246Kcal,18g,-,5g,-,16g,-,-
Saida,CHEESE,LES RÂPÉS PRÉSIDENT - A L’EMMENTAL,	343Kcal,27g,-,1g,-,	24g,-,-
Saida,CHEESE,LES RÂPÉS PRÉSIDENT - SPÉCIAL PIZZA,	343Kcal,27g,-,1g,-,	24g,-,-
Saida,CHEESE,LES RÂPÉS PRÉSIDENT - SPÉCIAL PÂTES,	343Kcal,27g,-,1g,-,	24g,-,-
Saida,CHEESE,LES RÂPÉS PRÉSIDENT - SPÉCIAL GRATIN,	343Kcal,27g,-,1g,-,	24g,-,-
Saida,CHEESE,LES RÂPÉS PRÉSIDENT - SPÉCIAL TAJINE,	343Kcal,27g,-,1g,-,	24g,-,-
Saida,CHEESE,PRÉSIDENT À TARTINER - FRAIDOUX,204Kcal,18g,-,	5g,-,"5,5g",-,-
Saida,CHEESE,PRÉSIDENT À TARTINER - FRAIDOUX ENRICHI EN CALCIUM ET EN VITAMINE D,	202Kcal,18g,-,4g,-,	56g,-,-
Saida,CHEESE,PRÉSIDENT À TARTINER - RONDELÉ NATURE,"	342,7Kcal",33g,-,"1,57g",-,8g,-,-
Saida,CHEESE,PRÉSIDENT À TARTINER - RONDELÉ AIL ET FINES HERBES,"	350,53Kcal",33g,-,"1,3g",-,8g,-,-
Saida,CHEESE,PRÉSIDENT À TARTINER - RONDELÉ POIVRE,"	350,53Kcal",33g,-,"1,3g",-,8g,-,-
Saida,CHEESE,PRÉSIDENT À TARTINER - LA FONDUE,"	262,1Kcal","22,9g",-,"4,5g",-,"9,5g",-,-
Saida,CHEESE,PRÉSIDENT À LA COUPE ,"	291,69Kcal",	24g,-,"	3,69g",-,	18g,-,-
Saida,CHEESE,PRÉSIDENT POUR ENFANTS - CROC'LAIT,"342,7Kcal",33g,-,"1,75g",-,8g,-,-
Saida,CHEESE,PRÉSIDENT POUR ENFANTS - GOÛTER,"262,1Kcal","22,9g",-,"4,5g",-,"9,5g",-,-
Saida,CHEESE,LES TRIANGLES FROMY PLUS,	235Kcal,19g,-,7g,-,9g,-,-
Saida,CHEESE,LES SLICES FROMY - A LA MOZZARELLA,"240,2Kcal","17,8g",-,5g,-,15g,-,-
Saida,CHEESE,LES SLICES FROMY - AU CHEDDAR,"	240,2Kcal","	17,8g",-,"	3,5g",-,	15g,-,-
Saida,CHEESE,FROMY PLUS À TARTINER - TARTINE ENRICHIE,263Kcal ,23g,-,"4,5g",-,"9,5g",-,-
Saida,CHEESE,FROMY PLUS À TARTINER - TARTINE LIGHT,	143Kcal,	9g,-,5g,-,"10,5g",-,-
Saida,CHEESE,FROMY PLUS À TARTINER - GOUTELA,	197Kcal,18g,-,"3,3g",-,"5,5g",-,-
Saida,CHEESE,FROMY PLUS À TARTINER - GOUTELA SEL RÉDUIT,	212Kcal,	18g,-,5g,-,"5,5g",-,-
Saida,CHEESE,FROMY À LA COUPE - FROMITO,311Kcal,"24,38g",-,5g,-,18g,-,-
Délice,CARBONATED DRINK,DÉLIO - MANDARINE,29.8Kcal,0.12g,-,7g,-,0.38g,-,-
Délice,CARBONATED DRINK,DÉLIO - ANANAS,29.08Kcal,< 0.01g,-,6.25g,-,0.75g,-,-
Délice,CARBONATED DRINK,DÉLIO - APPLE ,31.64Kcal,0.04g,-,7.1g,-,0.72g,-,-
Délice,CARBONATED DRINK,DÉLIO - APPLE ,31.289Kcal,0.01g,-,7.21g,-,0.61g,-,-
Délice,CARBONATED DRINK,DÉLIO - MINT,32.722Kcal,0g,-,7.47g,-,0g,-,-
Délice,CARBONATED DRINK,DÉLIO - PEACH,30.78Kcal,0.06g,-,7.06,-,0.5g,-,-
Délice,JUICE,FRUZZY STRAWBERRY RASPBERRY JUICE DRINK,48.725Kcal,<0.8g,-,11.9g,-,<0.5g,-,-
Délice,JUICE,"FRUZZY P’TIT DÉJ - BOISSON AU JUS DE POMME
BANANE ENRICHIE EN CÉRÉALES",43.931Kcal,0.1g,-,10.67g,-,0.5g,-,-
Délice,JUICE,FRUZZY TROPICAL JUICE DRINK ,49.441Kcal,0g,-,11.9g,-,0.3g,-,-
Délice,JUICE,FRUZZY ORANGE JUICE DRINK,45.07Kcal,0g,-,11g,-,0.1g,-,-
Délice,JUICE,FRUZZY SOUR CANDY,51.83Kcal,<0.01g,-,12.71g,-,0.21g,-,-
Délice,JUICE,FRUZZY COTTON CANDY,49.919Kcal,<0.01g,-,12.32g,-,0.34g,-,-
Délice,JUICE,JUS DÉLICE DE FRUITS - STERILIZED PINEAPPLE JUICE DRINK,43.353Kcal,0.04g,-,10.5g,-,0.1g,0.02g,-
Délice,JUICE,JUS DÉLICE DE FRUITS - PEAR JUICE DRINK,49.68Kcal,0.1g,-,11.5g,-,0.6g,-,-
Délice,JUICE,JUS DÉLICE DE FRUITS - TROPICAL NECTAR,48Kcal,0.09g,-,11.22g,-,0.62g,-,-
Délice,JUICE,JUS DÉLICE DE FRUITS - PEACH JUICE DRINK,49.441Kcal,0.1g,-,11.4g,-,0.7g,-,-
Délice,JUICE,JUS DÉLICE DE FRUITS - JUICE BEVERAGE ORANGE,51.83Kcal,0.6g,-,11.6g,-,<0.1g,-,-
Délice,JUICE,JUS DÉLICE DE FRUITS - MANGO NECTAR,48.725Kcal,0.1g,-,11.3g,-,0.6g,-,-
Délice,JUICE,JUS DÉLICE DE FRUITS - WHITE-FLESHED FRUIT,47.769Kcal,<0.3g,-,10.2g,-,0.4g,-,-
Délice,JUICE,JUS DÉLICE DE FRUITS - MULTI-VITAMIN,47.769Kcal,0.01g,-,11.24g,-,0.7g,-,-
Délice,JUICE,JUS DÉLICE DE FRUITS -MOJITO LEMON & MINT,45.381Kcal,0.1g,-,13g,-,<0.1g,-,-
Délice,JUICE,DANAO,62.339Kcal,0g,-,10g,6.9g,0.4g,-,-
Délice,CHEESE,MELTED TRIANGLE CHEESE,265.119Kcal,2.5g,-,-,5g,10g,-,-
Délice,CHEESE,SQUARE MON CARRÉ,320.77Kcal,2.5g,-,-,5g,9.5g,-,-
Délice,CHEESE,MELTED GRATED CHEESE WITH GRUYÈRE FLAVOUR,236.577Kcal,24.5g,-,-,3g,1.5g,-,-
Délice,CHEESE,DANINO,114.503Kcal,13.4g,-,3.5g,9g,7.4g,-,-
Délice,CHEESE,GOUTTA,169.581Kcal,15g,-,-,2.5g,6.18g,-,-
Délice,CHEESE,TARTI'FRAIS,214.961Kcal,18.5g,-,-,5g,7.18g,-,-
Délice,DAIRY PRODUCTS,UHT SKIMMED MILK,31Kcal,<0.1g,-,-,4.5g,3g,-,-
Délice,DAIRY PRODUCTS,UHT SEMI SKIMMED MILK,43.5Kcal,1.5g,-,4.5g,4.5g,3g,-,-
Délice,DAIRY PRODUCTS,UHT WHOLE MILK,57Kcal,1.5,-,4.5g,4.5g,3g,-,-
Délice,DAIRY PRODUCTS,UHT SEMI SKIMMED MILK FORTIFIED WITH VITAMINS,43.5Kcal,1.5g,-,4.5g,4.5g,3g,-,-
Délice,DAIRY PRODUCTS,WAKE UP BOISSON LACTÉE AU GOÛT DE CHOCOLAT,84.3Kcal,2.7g,-,13.8g,-,1.2g,-,-
Délice,DAIRY PRODUCTS,LAITGO,60Kcal,0.8g,-,11.8g,-,1.6g,-,-
Délice,DAIRY PRODUCTS,DÉLISO 10 VITAMINES VANILLA FLAVORED MILK,17.68Kcal,1.5g,-,14g,-,1g,-,-
Délice,DAIRY PRODUCTS,DÉLISO 10 VITAMINES STRAWBERRY FLAVORED MILK,14.34Kcal,0.8g,-,11.8g,-,1.6g,-,-
Délice,DAIRY PRODUCTS,DÉLISO 10 VITAMINES CHOCOLATE FLAVORED MILK,14.1Kcal,0.7g,-,11.8g,-,1.4g,-,-
Délice,DAIRY PRODUCTS,DÉLISHAKE CHOCOLATE HAZELNUT,81.2Kcal,1.99g,1.22g,13.13g,-,2.42g,0.081g,-
Délice,DAIRY PRODUCTS,BANANA DÉLISHAKE ,82Kcal,-,-,12.8g,11.6g,2g,0.2g,-
Délice,DAIRY PRODUCTS,CHOCOLATE DÉLISHAKE ,75Kcal,1.9g,1.3g,12.1g,10.9g,2g,0.2g,-
Délice,DAIRY PRODUCTS,VANILLA DÉLISHAKE ,82Kcal,2.5g,1.7g,12.8g,11.6g,2g,0.2g,-
Délice,DAIRY PRODUCTS,LBEN,56.129Kcal,2.4g,-,5.5g,5.5g,3.1g,0.1g,-
Délice,DAIRY PRODUCTS,RAIEB,36Kcal,-,-,4.5g,-,2.7g,-,-
Délice,DAIRY PRODUCTS,SEMI-THICK UHT STERILIZED CREAM,307.634Kcal,-,-,1.8g,0g,1.8g,-,-
Délice,DAIRY PRODUCTS,UHT 30% SUPERIOR CREAM - LIQUID CREAM,292Kcal,-,-,3.2g,-,2.3g,-,-
Délice,DAIRY PRODUCTS,PASTEURISED FRESH CREAM,292Kcal,-,-,3.2g,-,2.3g,-,-
Délice,DAIRY PRODUCTS,EXTRA FINE UNSALTED BUTTER,730Kcal,>80g,-,0.63g,-,0.72g,-,-
Délice,DAIRY PRODUCTS,DANETTE ASSIDET ZGOUGOU,140Kcal,5g,-,20g,-,3.9g,-,-
Délice,DAIRY PRODUCTS,BOUZA,116.3Kcal,5.3g,-,14g,-,3.1g,0.09g,-
Délice,DAIRY PRODUCTS,BLENDY,119Kcal,4.5g,-,16.9g,-,2.6g,-,-
Délice,DAIRY PRODUCTS,DAN’UP - PEACH MELBA / TROPICAL / STRAWBERRY,81Kcal,1.5g,-,15.5g,8.8g,1.3g,-,-
Délice,DAIRY PRODUCTS,DAN’UP - VANILLA,85Kcal,1.5g,-,16.6g,10g,1.3g,-,-
Délice,DAIRY PRODUCTS,OIKOS WITH FRUITS,147.8Kcal,7.7g,-,16.5,11.8g,3.2g,-,-
Délice,DAIRY PRODUCTS,OIKOS NATURE,127.7Kcal,9.7g,-,6.1g,0g,4.g,-,-
